BOD,QUAT,,,*,,,*,,*,,*,,,,,,
,,,1,,1,,,1,,1,,1,,,,,
,,,,,,,,,,,,,,,,,
0010010,,0010010,0.003804845,0,,,1,,2,,2,,,,,0.003804845,3
0010011,,0010011,0.003804845,1,0.01521041,,1,0.06064591,2,,2,,,,,0.003801257,1
0010012,,0010012,0.003801257,2,,,1,,2,,2,,,,,0.003799463,2
0010013,,0010013,0.003799463,3,,,1,,2,,2,,,,,0.003799463,2
0010020,,0010020,0.003799463,0,,,2,,2,,2,,,,,0.003797669,2
0010021,,0010021,0.003797669,1,0.015190677,,2,,2,,2,,,,,0.003797669,2
0010022,,0010022,0.003797669,2,,,2,,2,,2,,,,,0.003795876,1
0010023,,0010023,0.003795876,3,,,2,,2,,2,,,,,0.003792288,1
0010030,,0010030,0.003792288,0,,,3,,2,,2,,,,,0.0037887,1
0010031,,0010031,0.0037887,1,0.015009297,,3,,2,,2,,,,,0.003715051,1
0010032,,0010032,0.003715051,2,,,3,,2,,2,,,,,0.003713258,1
0010033,,0010033,0.003713258,3,,,3,,2,,2,,,,,0.003711464,1
00210,,00210,0.003711464,0,,,0,,3,,2,,,,,0.003707876,2
00211,,00211,0.003707876,1,0.014831504,,0,,3,,2,,,,,0.003707876,2
00212,,00212,0.003707876,2,,,0,,3,,2,,,,,0.003704288,1
00213,,00213,0.003704288,3,,,0,,3,,2,,,,,0.003702494,1
00220,,00220,0.003702494,0,,,1,,3,,2,,,,,0.0037007,1
00221,,00221,0.0037007,1,0.014781274,,1,0.058940327,3,,2,,,,,0.003693525,1
00222,,00222,0.003693525,2,,,1,,3,,2,,,,,0.003684555,1
00223,,00223,0.003684555,3,,,1,,3,,2,,,,,0.003682761,1
00230,,00230,0.003682761,0,,,2,,3,,2,,,,,0.003673792,1
00231,,00231,0.003673792,1,0.014698755,,2,,3,,2,,,,,0.003671998,1
00232,,00232,0.003671998,2,,,2,,3,,2,,,,,0.003670204,1
00233,,00233,0.003670204,3,,,2,,3,,2,,,,,0.003666616,1
002010,,002010,0.003666616,0,,,3,,3,,2,,,,,0.003659441,1
002011,,002011,0.003659441,1,0.014628794,,3,,3,,2,,,,,0.003657647,1
002012,,002012,0.003657647,2,,,3,,3,,2,,,,,0.00364509,1
002013,,002013,0.00364509,3,,,3,,3,,2,,,,,0.003639708,1
002020,,002020,0.003639708,0,,,0,,0,,3,,,,,0.003621769,1
002021,,002021,0.003621769,1,0.01448887,,0,,0,,3,,,,,0.003618181,1
002022,,002022,0.003618181,2,,,0,,0,,3,,,,,0.003609212,1
002023,,002023,0.003609212,3,,,0,,0,,3,,,,,0.0021,60
002030,,002030,0.0021,0,,,1,,0,,3,,,,,0.0021,60
002031,,002031,0.0021,1,0.0084,,1,0.03968887,0,,3,,,,,0.0021,60
002032,,002032,0.0021,2,,,1,,0,,3,,,,,0.0021,60
002033,,002033,0.0021,3,,,1,,0,,3,,,,,0.0021,60
0020000,,0020000,0.0021,0,,,2,,0,,3,,,,,0.0021,60
0020001,,0020001,0.0021,1,0.0084,,2,,0,,3,,,,,0.0021,60
0020002,,0020002,0.0021,2,,,2,,0,,3,,,,,0.0021,60
0020003,,0020003,0.0021,3,,,2,,0,,3,,,,,0.0021,60
0020010,,0020010,0.0021,0,,,3,,0,,3,,,,,0.0021,60
0020011,,0020011,0.0021,1,0.0084,,3,,0,,3,,,,,0.0021,60
0020012,,0020012,0.0021,2,,,3,,0,,3,,,,,0.0021,60
0020013,,0020013,0.0021,3,,,3,,0,,3,,,,,0.0021,60
