BOD,QUAT,,,*,,,*,,*,,*,,,,,,
,,,1,,1,,,1,,1,,1,,,,,
,,,,,,,,,,,,,,,,,
323,,10023,0.003795876,3,,,2,,2,,2,,,,,0.003792288,1
310,,10030,0.003792288,0,,,3,,2,,2,,,,,0.0037887,1
311,,10031,0.0037887,1,0.015009297,,3,,2,,2,,,,,0.003715051,1
312,,10032,0.003715051,2,,,3,,2,,2,,,,,0.003713258,1
313,,10033,0.003713258,3,,,3,,2,,2,,,,,0.003711464,1
330,,210,0.003711464,0,,,0,,3,,2,,,,,0.003707876,2
331,,211,0.003707876,1,0.014831504,,0,,3,,2,,,,,0.003707876,2
332,,212,0.003707876,2,,,0,,3,,2,,,,,0.003704288,1
333,,213,0.003704288,3,,,0,,3,,2,,,,,0.003702494,1
3020,,220,0.003702494,0,,,1,,3,,2,,,,,0.0037007,1
3021,,221,0.0037007,1,0.014781274,,1,0.058940327,3,,2,,,,,0.003693525,1
3022,,222,0.003693525,2,,,1,,3,,2,,,,,0.003684555,1
3023,,223,0.003684555,3,,,1,,3,,2,,,,,0.003682761,1
3030,,230,0.003682761,0,,,2,,3,,2,,,,,0.003673792,1
3031,,231,0.003673792,1,0.014698755,,2,,3,,2,,,,,0.003671998,1
3032,,232,0.003671998,2,,,2,,3,,2,,,,,0.003670204,1
3033,,233,0.003670204,3,,,2,,3,,2,,,,,0.003666616,1
3010,,2010,0.003666616,0,,,3,,3,,2,,,,,0.003659441,1
3011,,2011,0.003659441,1,0.014628794,,3,,3,,2,,,,,0.003657647,1
3012,,2012,0.003657647,2,,,3,,3,,2,,,,,0.00364509,1
3013,,2013,0.00364509,3,,,3,,3,,2,,,,,0.003639708,1
30010,,2020,0.003639708,0,,,0,,0,,3,,,,,0.003621769,1
30011,,2021,0.003621769,1,0.01448887,,0,,0,,3,,,,,0.003618181,1
30012,,2022,0.003618181,2,,,0,,0,,3,,,,,0.003609212,1
30013,,2023,0.003609212,3,,,0,,0,,3,,,,,0.0021,60
30020,,2030,0.0021,0,,,1,,0,,3,,,,,0.0021,60
30021,,2031,0.0021,1,0.0084,,1,0.03968887,0,,3,,,,,0.0021,60
30022,,2032,0.0021,2,,,1,,0,,3,,,,,0.0021,60
30023,,2033,0.0021,3,,,1,,0,,3,,,,,0.0021,60
30030,,20000,0.0021,0,,,2,,0,,3,,,,,0.0021,60
30031,,20001,0.0021,1,0.0084,,2,,0,,3,,,,,0.0021,60
30032,,20002,0.0021,2,,,2,,0,,3,,,,,0.0021,60
30033,,20003,0.0021,3,,,2,,0,,3,,,,,0.0021,60
300020,,20010,0.0021,0,,,3,,0,,3,,,,,0.0021,60
300021,,20011,0.0021,1,0.0084,,3,,0,,3,,,,,0.0021,60
300022,,20012,0.0021,2,,,3,,0,,3,,,,,0.0021,60
300023,,20013,0.0021,3,,,3,,0,,3,,,,,0.0021,60
